Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,DiffX5,DiffY5
120,-197.46,1397.61,292.7,3148.74,171.218,4149.39,55.3852,5213.19,-57.5811,6347.42,-277.595,7349.07,7546.53,-1675.205
121,-198.703,1407.57,293.039,3148.53,171.117,4149.18,55.3715,5213.1,-58.2828,6347.25,-277.882,7348.83,7547.533,-1685.452
122,-199.642,1417.87,293.048,3148.55,171.141,4149.09,55.3918,5213.04,-58.1574,6347.09,-278.016,7348.65,7548.292,-1695.886
123,-201.394,1428.15,292.677,3148.67,171.133,4149.26,55.4502,5213.2,-57.4046,6347.33,-277.63,7348.89,7550.284,-1705.78
124,-203.508,1438.17,292.984,3148.65,171.241,4149.29,55.4399,5213.11,-58.2378,6347.34,-277.653,7349,7552.508,-1715.823
125,-204.744,1446.07,293.088,3148.51,171.087,4149.1,55.423,5213,-58.3225,6347.2,-277.989,7348.66,7553.404,-1724.059
126,-206.659,1457.69,292.761,3148.64,171.161,4149.21,55.4612,5213.17,-57.6337,6347.23,-277.813,7348.79,7555.449,-1735.503
127,-208.141,1467.49,292.648,3149.05,171.335,4149.33,55.5814,5213.18,-57.1984,6347.31,-277.622,7349.1,7557.241,-1745.112
128,-209.729,1477.38,292.557,3148.94,171.11,4149.17,55.4157,5213.07,-58.3426,6347.29,-277.898,7348.78,7558.509,-1755.278
129,-210.915,1487.71,293.046,3148.58,171.097,4149.04,55.4086,5213.06,-58.2984,6347.13,-277.939,7348.52,7559.435,-1765.649
130,-212.429,1497.07,292.708,3148.68,171.192,4149.29,55.3412,5213.03,-59.6735,6347.53,-277.641,7348.92,7561.349,-1774.711
131,-214.428,1507.62,292.93,3148.73,171.167,4149.37,55.5063,5213.23,-58.1934,6347.42,-277.306,7349.09,7563.518,-1784.926
132,-215.605,1517.29,293.096,3148.58,171.14,4149.14,55.3853,5213.12,-56.6753,6346.95,-277.955,7348.69,7564.295,-1795.245
133,-217.603,1527.21,292.731,3148.64,171.143,4149.16,55.4272,5213.14,-59.0263,6347.52,-277.734,7348.73,7566.333,-1804.944
134,-218.964,1537.19,292.821,3148.79,171.235,4149.29,55.4997,5213.21,-57.2326,6347.27,-277.638,7348.98,7567.944,-1814.828
135,-220,1547.48,293.107,3148.53,171.121,4149.17,55.4182,5213.14,-58.7906,6346.92,-277.919,7348.8,7568.8,-1825.399
136,-221.817,1557.32,292.959,3148.56,171.066,4149.07,55.4049,5213.03,-58.3575,6347.23,-277.806,7348.43,7570.247,-1835.126
137,-222.844,1567.16,292.779,3148.7,171.265,4149.3,55.556,5213.15,-57.3488,6347.28,-277.671,7348.96,7571.804,-1844.831
138,-224.572,1577.24,293.069,3148.65,171.247,4149.27,55.5264,5213.15,-58.0831,6347.33,-277.706,7348.96,7573.532,-1854.946
139,-226.201,1586.81,293.023,3148.54,171.17,4149.11,55.422,5212.97,-58.2342,6347.16,-277.717,7348.54,7574.741,-1864.527
140,-227.635,1596.57,292.687,3148.58,171.113,4149.18,55.4037,5213.11,-57.506,6347.19,-277.758,7348.71,7576.345,-1874.328
141,-229.009,1606.11,292.891,3148.79,171.138,4149.29,55.4915,5213.25,-57.209,6347.28,-277.723,7349.01,7578.019,-1883.833
142,-228.766,1612.85,293.085,3148.55,171.178,4149.15,55.3894,5213.09,-58.1134,6347.24,-277.747,7348.67,7577.436,-1890.597
143,-229.888,1622.59,292.568,3148.94,171.089,4149.11,55.4095,5213.09,-56.1957,6347.54,-277.901,7348.59,7578.478,-1900.491
144,-232.382,1633.62,292.801,3148.79,171.263,4149.29,55.5174,5213.22,-52.9471,6346.37,-277.422,7348.97,7581.352,-1911.042
145,-234.88,1645.89,293.049,3148.61,171.248,4149.29,55.4417,5213.15,-58.0179,6347.34,-277.655,7348.95,7583.83,-1923.545
146,-236.802,1655.98,292.971,3148.54,171.047,4149.12,55.3608,5213.04,-58.4038,6347.26,-277.812,7348.54,7585.342,-1933.792
147,-237.975,1665.56,292.782,3148.64,171.167,4149.15,55.4278,5213.04,-57.3657,6347.17,-277.843,7348.72,7586.695,-1943.403
148,-239.611,1675.37,292.976,3148.71,171.211,4149.32,55.403,5213.08,-58.2305,6347.37,-277.62,7348.89,7588.501,-1952.99
149,-241.136,1685.88,293.065,3148.58,171.177,4149.19,55.4184,5213.02,-56.4984,6347.03,-277.649,7348.74,7589.876,-1963.529
150,-243.141,1696.09,292.71,3149.05,171.221,4149.15,55.5322,5213.14,-57.2038,6347.13,-277.431,7348.84,7591.981,-1973.521
151,-244.881,1706.13,292.66,3148.69,171.118,4149.28,55.3798,5213.16,-57.4704,6347.32,-277.78,7348.93,7593.811,-1983.91
152,-245.453,1714.17,292.954,3148.54,171.094,4149.25,55.249,5213.11,-58.4106,6347.33,-277.83,7348.91,7594.363,-1992
153,-247.483,1726.65,293.05,3148.71,171.132,4149.11,55.4409,5213.08,-57.14,6347.1,-277.455,7348.67,7596.153,-2004.105
154,-248.767,1736.33,292.721,3148.6,171.145,4149.19,55.8188,5213.34,-57.5214,6347.16,-277.824,7348.72,7597.487,-2014.154
155,-250.387,1746.3,292.99,3148.59,171.172,4149.3,55.7643,5213.43,-58.184,6347.33,-277.778,7348.99,7599.377,-2024.078
156,-252.304,1756.26,293.159,3148.69,171.209,4149.25,55.9741,5213.49,-58.0603,6347.32,-277.354,7348.94,7601.244,-2033.614
157,-253.852,1766.13,292.714,3148.62,171.146,4149.18,55.8361,5213.39,-57.4583,6347.21,-277.765,7348.66,7602.512,-2043.895
158,-255.453,1775.72,292.418,3148.9,171.057,4149.2,55.6862,5213.33,-57.5106,6347.23,-277.693,7348.69,7604.143,-2053.413
159,-256.594,1785.28,293.136,3148.6,171.249,4149.22,55.9599,5213.47,-57.925,6346.36,-277.745,7348.8,7605.394,-2063.025
160,-257.8,1795.22,292.642,3148.97,171.195,4149.17,55.8661,5213.32,-57.2177,6347.13,-277.777,7348.73,7606.53,-2072.997
161,-259.518,1804.83,292.701,3148.68,171.121,4149.18,55.4437,5213.14,-57.477,6347.27,-277.78,7348.84,7608.358,-2082.61
162,-261.057,1814.34,293.09,3148.67,171.192,4149.23,55.5162,5213.22,-58.0447,6347.34,-277.787,7348.91,7609.967,-2092.127
163,-262.901,1824.74,292.948,3148.57,171.067,4149.17,55.3481,5213.15,-58.426,6347.37,-277.791,7348.71,7611.611,-2102.531
