Objects
100
,,Global Angle husky-radar:husky-radar,,,,,,Global Angle reflector1:reflector1,,,,,,Global Angle reflector2:reflector2,,,,,,Global Angle reflector3:reflector3,,,,,,Global Angle reflector4:reflector4,,,,,,Global Angle reflector5:reflector5,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
45,0,0.124663,0.0324889,3.3647,30.955,133.374,563.652,-0.00274325,-0.00111426,0.000210785,-587.41,2599.62,117.422,0.129117,0.0317826,3.41654,-792.815,3764.07,140.952,0.138094,0.0528795,3.39859,-899.847,4838.8,129.465,0.148794,0.037355,3.30264,-932.548,5928.27,109.442,0.0159902,-0.000374407,0.00933415,-1009.19,7099.3,60.2234
46,0,0.111766,0.0462094,3.37636,32.9967,138.466,562.941,-0.00591328,0.000109203,-0.00143711,-587.817,2599.31,117.949,0.129161,0.0319025,3.41657,-792.862,3764.08,140.955,0.138237,0.0526786,3.3991,-899.364,4838.45,129.486,0.151171,0.0357561,3.30358,-932.244,5927.93,109.358,0.0152686,-0.000332377,0.00851069,-1009.15,7099.32,60.2246
47,0,0.113473,0.0547638,3.37565,34.419,143.133,562.055,-0.00643545,-0.00167876,-0.00136438,-587.637,2599.34,117.899,0.129165,0.0318372,3.41657,-792.839,3764.08,140.968,0.141814,0.0551087,3.39918,-898.968,4838.05,129.365,0.150728,0.0354742,3.30444,-931.999,5927.66,109.207,0.0159223,-0.000660629,0.00767351,-1009.09,7099.34,60.1947
48,0,0.114222,0.0784604,3.38699,34.4627,147.163,561.971,-0.00645829,-0.00116464,-0.00154225,-587.631,2599.41,117.932,0.129117,0.0317339,3.41658,-792.76,3764.07,140.973,0.142107,0.0554207,3.39941,-899.078,4838.15,129.388,0.150795,0.0354751,3.30408,-932.039,5927.71,109.256,0.0164537,-0.000863451,0.00798804,-1009.11,7099.32,60.2167
49,0,0.126258,0.0456534,3.36458,32.0431,153.415,562.745,-0.00315869,-0.00127268,0.000173743,-587.263,2599.71,117.451,0.128934,0.0316968,3.41645,-792.654,3764.08,140.988,0.139609,0.0538187,3.39904,-899.594,4838.63,129.456,0.15171,0.0355914,3.30289,-932.359,5928.09,109.413,0.0173304,-0.000168959,0.00865826,-1009.14,7099.3,60.2418
50,0,0.112245,0.0508548,3.37473,31.5822,159.239,563.675,-0.00296058,-0.000963723,5.289e-05,-587.28,2599.75,117.441,0.129051,0.0316215,3.41641,-792.615,3764.1,140.972,0.138083,0.0530757,3.39854,-899.884,4838.93,129.499,0.149135,0.0371795,3.30229,-932.573,5928.34,109.48,0.0163757,-0.000199544,0.00933241,-1009.18,7099.29,60.2457
51,0,0.125682,0.0254124,3.36483,32.7294,162.785,562.794,-0.00292072,-0.000908934,0.000288653,-587.314,2599.74,117.454,0.129167,0.0316125,3.41641,-792.642,3764.12,140.974,0.138783,0.0534813,3.39907,-899.529,4838.72,129.502,0.151741,0.035688,3.30258,-932.305,5928.09,109.426,0.0162181,-8.91539e-05,0.0100527,-1009.19,7099.32,60.2587
52,0,0.126448,0.0242119,3.36266,35.014,166.14,561.801,-0.00607854,-0.000585457,-0.00146466,-587.666,2599.43,117.921,0.129246,0.0315604,3.41646,-792.751,3764.13,140.955,0.141295,0.0549882,3.39936,-899.037,4838.31,129.41,0.151544,0.0353424,3.30377,-932.007,5927.77,109.251,0.0159187,-0.00018846,0.00984346,-1009.2,7099.32,60.2546
53,0,0.115703,0.0374117,3.37486,36.0717,171.186,561.92,-0.00614181,-0.00110021,-0.00110304,-587.649,2599.39,117.916,0.129088,0.0317926,3.41655,-792.79,3764.09,140.963,0.140222,0.0540854,3.3992,-898.977,4838.23,129.415,0.150736,0.0355106,3.30401,-932.004,5927.71,109.234,0.0168127,-0.000535643,0.00917152,-1009.19,7099.37,60.246
54,0,0.128759,0.0285721,3.36385,34.3316,175.529,562.235,-0.00582959,0.000811787,-0.00148718,-587.78,2599.35,117.953,0.129326,0.0317494,3.41652,-792.758,3764.05,140.973,0.13877,0.0532186,3.39932,-899.496,4838.51,129.45,0.151127,0.0356235,3.30314,-932.306,5927.99,109.372,0.0180584,-0.000597975,0.00884846,-1009.2,7099.41,60.2286
