Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
75,-131.64,949.383,292.692,3148.61,170.101,4148.08,55.3887,5213.07,-57.563,6347.27,-277.842,7348.68,2.199227,3.198697,4.263687,5.397887,6.399297,0.3,0.3,0.3,0.3,0.3
76,-132.71,959.219,292.984,3148.53,170.18,4148.06,55.4272,5213.04,-58.3014,6347.16,-277.994,7348.82,2.189311,3.188841,4.253821,5.387941,6.389601,0.3,0.3,0.3,0.3,0.3
77,-134.135,967.709,292.779,3149.38,170.102,4148.16,55.4238,5213.19,-58.1848,6347.36,-277.788,7348.96,2.181671,3.180451,4.245481,5.379651,6.381251,0.3,0.3,0.3,0.3,0.3
78,-134.923,978.847,292.652,3149.07,170.291,4148.14,55.5352,5213.11,-56.9767,6347.22,-277.675,7348.97,2.170223,3.169293,4.234263,5.368373,6.370123,0.3,0.3,0.3,0.3,0.3
79,-137.286,989.181,292.763,3148.69,170.127,4148.04,55.527,5213.2,-57.2857,6347.23,-277.707,7348.89,2.159509,3.158859,4.224019,5.358049,6.359709,0.3,0.3,0.3,0.3,0.3
80,-138.76,998.116,292.922,3148.62,170.032,4148.08,55.2398,5213.02,-58.354,6347.32,-277.833,7348.74,2.150504,3.149964,4.214904,5.349204,6.350624,0.3,0.3,0.3,0.3,0.3
81,-139.994,1008.38,292.934,3148.64,170.194,4148.12,55.4245,5213.08,-58.1619,6347.27,-277.847,7349.01,2.14026,3.13974,4.2047,5.33889,6.34063,0.3,0.3,0.3,0.3,0.3
82,-140.982,1019.16,292.596,3148.96,170.118,4148.05,55.4517,5213.1,-57.693,6347.27,-278.009,7348.84,2.1298,3.12889,4.19394,5.32811,6.32968,0.3,0.3,0.3,0.3,0.3
83,-142.216,1028.73,293.104,3148.58,170.233,4148.06,55.503,5213.09,-58.1488,6347.16,-277.961,7348.71,2.11985,3.11933,4.18436,5.31843,6.31998,0.3,0.3,0.3,0.3,0.3
84,-143.784,1037.39,293.049,3148.57,170.154,4148.11,55.3451,5213.02,-56.6107,6347.09,-277.867,7349.03,2.11118,3.11072,4.17563,5.3097,6.31164,0.3,0.3,0.3,0.3,0.3
85,-145.95,1049.02,292.748,3148.79,170.141,4148.15,55.5409,5213.32,-57.1233,6347.38,-277.744,7348.96,2.09977,3.09913,4.1643,5.29836,6.29994,0.3,0.3,0.3,0.3,0.3
86,-146.83,1058.73,292.688,3149.03,170.254,4148.12,55.6141,5213.2,-57.2186,6347.19,-277.582,7348.97,2.0903,3.08939,4.15447,5.28846,6.29024,0.3,0.3,0.3,0.3,0.3
87,-148.584,1068.55,292.822,3148.47,169.965,4148.02,55.1094,5212.97,-58.7131,6347.28,-277.974,7348.85,2.07992,3.07947,4.14442,5.27873,6.2803,0.3,0.3,0.3,0.3,0.3
88,-149.023,1078.44,293.023,3148.73,170.218,4148.08,55.4804,5213.1,-57.0789,6347.11,-277.792,7348.85,2.07029,3.06964,4.13466,5.26867,6.27041,0.3,0.3,0.3,0.3,0.3
89,-150.417,1089.2,292.878,3148.78,170.29,4148.15,55.6674,5213.25,-59.0991,6347.34,-277.653,7348.88,2.05958,3.05895,4.12405,5.25814,6.25968,0.3,0.3,0.3,0.3,0.3
90,-152.869,1099.54,292.845,3148.5,169.958,4148.05,55.1729,5213.03,-58.9176,6347.46,-278.04,7348.87,2.04896,3.04851,4.11349,5.24792,6.24933,0.3,0.3,0.3,0.3,0.3
