Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
79,-86.4552,964.282,285.244,3290.97,144.662,4301.79,46.9302,5192.51,-434.402,6348.16,-1231.4,7183.1,2.326688,3.337508,4.228228,5.383878,6.218818,0.4,0.4,0.4,0,-0.4
80,-88.1323,975.351,285.16,3291.04,144.209,4301.67,45.9212,5192.11,-434.407,6348.49,-1230.94,7183.22,2.315689,3.326319,4.216759,5.373139,6.207869,0.4,0.4,0.4,0,-0.4
81,-88.5805,984.623,285.055,3291.03,144.611,4301.9,47.8587,5194.49,-434.452,6348.46,-1230.94,7183.18,2.306407,3.317277,4.209867,5.363837,6.198557,0.4,0.4,0.4,0,-0.4
82,-88.7498,994.07,285.086,3290.83,144.528,4302.11,47.672,5194.3,-434.532,6348.17,-1231.24,7182.75,2.29676,3.30804,4.20023,5.3541,6.18868,0.4,0.4,0.4,0,-0.4
83,-89.5719,1004.13,285.111,3291.13,144.157,4301.91,47.3858,5193.45,-434.464,6348.29,-1231.15,7182.99,2.287,3.29778,4.18932,5.34416,6.17886,0.4,0.4,0.4,0,-0.4
84,-88.6395,1010.56,285.24,3291.07,144.484,4302.21,47.7159,5193.6,-434.306,6348.31,-1230.68,7183.21,2.28051,3.29165,4.18304,5.33775,6.17265,0.4,0.4,0.4,0,-0.4
85,-90.6727,1024.37,284.925,3291.05,144.491,4302.13,46.3866,5192.4,-434.59,6348.28,-1231.28,7182.91,2.26668,3.27776,4.16803,5.32391,6.15854,0.4,0.4,0.4,0,-0.4
86,-90.8315,1034.15,285.119,3290.97,144.516,4302.08,45.6236,5191.49,-434.526,6348.31,-1231.2,7182.67,2.25682,3.26793,4.15734,5.31416,6.14852,0.4,0.4,0.4,0,-0.4
87,-91.7585,1045.44,285.25,3291.06,144.519,4302.19,45.2136,5191.38,-434.35,6348.41,-1231,7183.35,2.24562,3.25675,4.14594,5.30297,6.13791,0.4,0.4,0.4,0,-0.4
88,-91.9481,1055.38,284.993,3291.08,144.523,4302.2,46.5392,5192.5,-434.514,6348.39,-1231.28,7183.29,2.2357,3.24682,4.13712,5.29301,6.12791,0.4,0.4,0.4,0,-0.4
